complaint,department
Delay in crop insurance payment,Agriculture
Crop damage compensation not received,Agriculture
Subsidy under farmer scheme not credited,Agriculture
Seeds not supplied on time by agriculture office,Agriculture
Water supply not available for past 7 days,Water
Drinking water pipeline damaged,Water
Borewell not working properly,Water
Road damaged due to heavy rains,Infrastructure
Potholes on village road causing accidents,Infrastructure
Street lights not working at night,Infrastructure
Frequent power cuts in village area,Electricity
Transformer damaged and not replaced,Electricity
Electricity bill showing wrong amount,Electricity
Old age pension not credited,Social Welfare
Widow pension application pending,Social Welfare
Ration card issues and food grains not supplied,Social Welfare
Grievance submitted but no response received,General
Delay in grievance resolution,General
